"","Trials","ProbR","ID","role","cond","reward","choise","partner.choise","sender.dec","receiver.dec","phase","onset","state","event","image_name"
"78",26,35,"s53A","sender","comp",0,2,1,"lie","doubt","FB",577.1373,"feedback",78,"s53A+beta+event_078+tlrc"
"79",27,40,"s53A","receiver","coop",100,1,1,"truth","trust","1",583.1427,"waiting",79,"s53A+beta+event_079+tlrc"
"80",27,40,"s53A","receiver","coop",100,1,1,"truth","trust","2",590.1427,"active",80,"s53A+beta+event_080+tlrc"
"81",27,40,"s53A","receiver","coop",100,1,1,"truth","trust","FB",597.1427,"feedback",81,"s53A+beta+event_081+tlrc"
"82",28,35,"s53A","receiver","comp",0,1,1,"truth","trust","1",604.1476,"waiting",82,"s53A+beta+event_082+tlrc"
"83",28,35,"s53A","receiver","comp",0,1,1,"truth","trust","2",611.1476,"active",83,"s53A+beta+event_083+tlrc"
"84",28,35,"s53A","receiver","comp",0,1,1,"truth","trust","FB",618.1476,"feedback",84,"s53A+beta+event_084+tlrc"
"85",29,40,"s53A","sender","coop",100,1,1,"truth","trust","1",650,"active",85,"s53A+beta+event_085+tlrc"
"86",29,40,"s53A","sender","coop",100,1,1,"truth","trust","2",657,"waiting",86,"s53A+beta+event_086+tlrc"
"87",29,40,"s53A","sender","coop",100,1,1,"truth","trust","FB",664,"feedback",87,"s53A+beta+event_087+tlrc"
"88",30,60,"s53A","sender","comp",150,2,1,"truth","doubt","1",670.0063,"active",88,"s53A+beta+event_088+tlrc"
"89",30,60,"s53A","sender","comp",150,2,1,"truth","doubt","2",677.0063,"waiting",89,"s53A+beta+event_089+tlrc"
"90",30,60,"s53A","sender","comp",150,2,1,"truth","doubt","FB",684.0063,"feedback",90,"s53A+beta+event_090+tlrc"
"91",31,40,"s53A","receiver","coop",0,1,1,"truth","trust","1",690.0119,"waiting",91,"s53A+beta+event_091+tlrc"
"92",31,40,"s53A","receiver","coop",0,1,1,"truth","trust","2",697.0119,"active",92,"s53A+beta+event_092+tlrc"
"93",31,40,"s53A","receiver","coop",0,1,1,"truth","trust","FB",704.0119,"feedback",93,"s53A+beta+event_093+tlrc"
